LINESTRING (1.697111 42.524313, 1.697142 42.524247) 
LINESTRING (1.697142 42.524247, 1.697129 42.524193) 
LINESTRING (1.697129 42.524193, 1.697062 42.524136) 
LINESTRING (1.697062 42.524136, 1.696942 42.524052) 
LINESTRING (1.696942 42.524052, 1.696880 42.523936) 
LINESTRING (1.696880 42.523936, 1.696836 42.523831) 
LINESTRING (1.696836 42.523831, 1.696810 42.523676) 
LINESTRING (1.696810 42.523676, 1.696731 42.523495) 
LINESTRING (1.696731 42.523495, 1.696667 42.523443) 
LINESTRING (1.696667 42.523443, 1.696595 42.523229) 
LINESTRING (1.696595 42.523229, 1.696514 42.523042) 
LINESTRING (1.696514 42.523042, 1.696354 42.522865) 
LINESTRING (1.696354 42.522865, 1.696237 42.522725) 
LINESTRING (1.696237 42.522725, 1.696217 42.522659) 
LINESTRING (1.696217 42.522659, 1.696226 42.522598) 
LINESTRING (1.696226 42.522598, 1.696315 42.522463) 
LINESTRING (1.696315 42.522463, 1.696304 42.522406) 
LINESTRING (1.696304 42.522406, 1.696291 42.522324) 
LINESTRING (1.696291 42.522324, 1.696187 42.522283) 
LINESTRING (1.696187 42.522283, 1.696162 42.522213) 
LINESTRING (1.696162 42.522213, 1.696140 42.522169) 
LINESTRING (1.696140 42.522169, 1.696113 42.522099) 
LINESTRING (1.696113 42.522099, 1.696094 42.522031) 
LINESTRING (1.696094 42.522031, 1.695989 42.521999) 
LINESTRING (1.695989 42.521999, 1.695968 42.521954) 
LINESTRING (1.695968 42.521954, 1.696005 42.521897) 
LINESTRING (1.696005 42.521897, 1.696020 42.521854) 
LINESTRING (1.696020 42.521854, 1.696008 42.521795) 
LINESTRING (1.696008 42.521795, 1.695955 42.521715) 
LINESTRING (1.695955 42.521715, 1.695866 42.521613) 
LINESTRING (1.695866 42.521613, 1.695814 42.521495) 
LINESTRING (1.695814 42.521495, 1.695752 42.521363) 
LINESTRING (1.695752 42.521363, 1.695672 42.521214) 
LINESTRING (1.695672 42.521214, 1.695558 42.521034) 
LINESTRING (1.695558 42.521034, 1.695426 42.520909) 
LINESTRING (1.695426 42.520909, 1.695339 42.520746) 
LINESTRING (1.695339 42.520746, 1.695293 42.520559) 
LINESTRING (1.695293 42.520559, 1.695265 42.520439) 
LINESTRING (1.695265 42.520439, 1.695142 42.520260) 
LINESTRING (1.695142 42.520260, 1.695124 42.520194) 
LINESTRING (1.695124 42.520194, 1.695071 42.520040) 
LINESTRING (1.695071 42.520040, 1.695022 42.519928) 
LINESTRING (1.695022 42.519928, 1.694933 42.519819) 
LINESTRING (1.694933 42.519819, 1.694798 42.519738) 
LINESTRING (1.694798 42.519738, 1.694737 42.519732) 
LINESTRING (1.694737 42.519732, 1.694726 42.519667) 
LINESTRING (1.694726 42.519667, 1.694530 42.519284) 
LINESTRING (1.694530 42.519284, 1.694190 42.518927) 
LINESTRING (1.694190 42.518927, 1.694057 42.518816) 
LINESTRING (1.694057 42.518816, 1.693949 42.518568) 
LINESTRING (1.693949 42.518568, 1.693843 42.518461) 
LINESTRING (1.693843 42.518461, 1.693702 42.518410) 
LINESTRING (1.693702 42.518410, 1.693539 42.518412) 
LINESTRING (1.693539 42.518412, 1.693416 42.518452) 
LINESTRING (1.693416 42.518452, 1.693226 42.518417) 
LINESTRING (1.693226 42.518417, 1.693025 42.518536) 
LINESTRING (1.693025 42.518536, 1.692695 42.519082) 
LINESTRING (1.692695 42.519082, 1.692597 42.518948) 
LINESTRING (1.692597 42.518948, 1.692557 42.518841) 
LINESTRING (1.692557 42.518841, 1.692549 42.518719) 
LINESTRING (1.692549 42.518719, 1.692527 42.518608) 
LINESTRING (1.692527 42.518608, 1.692423 42.518556) 
LINESTRING (1.692423 42.518556, 1.692356 42.518458) 
LINESTRING (1.692356 42.518458, 1.692291 42.518363) 
LINESTRING (1.692291 42.518363, 1.692048 42.518219) 
LINESTRING (1.692048 42.518219, 1.691984 42.518176) 
LINESTRING (1.691984 42.518176, 1.691929 42.518058) 
LINESTRING (1.691929 42.518058, 1.691763 42.517793) 
LINESTRING (1.691763 42.517793, 1.691672 42.517611) 
LINESTRING (1.691672 42.517611, 1.691640 42.517441) 
LINESTRING (1.691640 42.517441, 1.691468 42.517236) 
LINESTRING (1.691468 42.517236, 1.691307 42.517050) 
LINESTRING (1.691307 42.517050, 1.691232 42.516836) 
LINESTRING (1.691232 42.516836, 1.691243 42.516706) 
LINESTRING (1.691243 42.516706, 1.691264 42.516563) 
LINESTRING (1.691264 42.516563, 1.691326 42.516362) 
LINESTRING (1.691326 42.516362, 1.691393 42.516184) 
LINESTRING (1.691393 42.516184, 1.691378 42.516041) 
LINESTRING (1.691378 42.516041, 1.691337 42.515926) 
LINESTRING (1.691337 42.515926, 1.691345 42.515745) 
LINESTRING (1.691345 42.515745, 1.691275 42.515595) 
LINESTRING (1.691275 42.515595, 1.691205 42.515496) 
LINESTRING (1.691205 42.515496, 1.691261 42.515342) 
LINESTRING (1.691261 42.515342, 1.691243 42.515164) 
LINESTRING (1.691243 42.515164, 1.691173 42.515081) 
LINESTRING (1.691173 42.515081, 1.691114 42.514970) 
LINESTRING (1.691114 42.514970, 1.691060 42.514855) 
LINESTRING (1.691060 42.514855, 1.691114 42.514705) 
LINESTRING (1.691114 42.514705, 1.691173 42.514567) 
LINESTRING (1.691173 42.514567, 1.691127 42.514437) 
LINESTRING (1.691127 42.514437, 1.691055 42.514266) 
LINESTRING (1.691055 42.514266, 1.691060 42.514120) 
LINESTRING (1.691060 42.514120, 1.691114 42.513989) 
LINESTRING (1.691114 42.513989, 1.691119 42.513867) 
LINESTRING (1.691119 42.513867, 1.690964 42.513748) 
LINESTRING (1.690964 42.513748, 1.690932 42.513626) 
LINESTRING (1.690932 42.513626, 1.690948 42.513479) 
LINESTRING (1.690948 42.513479, 1.691001 42.513242) 
LINESTRING (1.691001 42.513242, 1.690969 42.513159) 
LINESTRING (1.690969 42.513159, 1.690942 42.513064) 
LINESTRING (1.690942 42.513064, 1.690948 42.512985) 
LINESTRING (1.690948 42.512985, 1.690899 42.512882) 
LINESTRING (1.690899 42.512882, 1.690813 42.512744) 
LINESTRING (1.690813 42.512744, 1.690706 42.512499) 
LINESTRING (1.690706 42.512499, 1.690543 42.512384) 
LINESTRING (1.690543 42.512384, 1.690476 42.512214) 
LINESTRING (1.690476 42.512214, 1.690535 42.512099) 
LINESTRING (1.690535 42.512099, 1.690567 42.512000) 
LINESTRING (1.690567 42.512000, 1.690537 42.511890) 
LINESTRING (1.690537 42.511890, 1.690502 42.511771) 
LINESTRING (1.690502 42.511771, 1.690518 42.511502) 
LINESTRING (1.690518 42.511502, 1.690505 42.511336) 
LINESTRING (1.690505 42.511336, 1.690545 42.511198) 
LINESTRING (1.690545 42.511198, 1.690620 42.511075) 
LINESTRING (1.690620 42.511075, 1.690610 42.510897) 
LINESTRING (1.690610 42.510897, 1.690535 42.510735) 
LINESTRING (1.690535 42.510735, 1.690398 42.510664) 
LINESTRING (1.690398 42.510664, 1.690272 42.510545) 
LINESTRING (1.690272 42.510545, 1.690182 42.510441) 
LINESTRING (1.690182 42.510441, 1.690341 42.510363) 
LINESTRING (1.690341 42.510363, 1.690424 42.510308) 
LINESTRING (1.690424 42.510308, 1.690392 42.510249) 
LINESTRING (1.690392 42.510249, 1.690422 42.510170) 
LINESTRING (1.690422 42.510170, 1.690502 42.510043) 
LINESTRING (1.690502 42.510043, 1.690583 42.509905) 
LINESTRING (1.690583 42.509905, 1.690656 42.509714) 
LINESTRING (1.690656 42.509714, 1.690745 42.509597) 
LINESTRING (1.690745 42.509597, 1.690790 42.509419) 
LINESTRING (1.690790 42.509419, 1.690742 42.509245) 
LINESTRING (1.690742 42.509245, 1.690626 42.509066) 
LINESTRING (1.690626 42.509066, 1.690490 42.508957) 
LINESTRING (1.690490 42.508957, 1.690324 42.508864) 
LINESTRING (1.690324 42.508864, 1.690152 42.508818) 
LINESTRING (1.690152 42.508818, 1.690010 42.508830) 
LINESTRING (1.690010 42.508830, 1.689900 42.508842) 
LINESTRING (1.689900 42.508842, 1.689725 42.508832) 
LINESTRING (1.689725 42.508832, 1.689746 42.508750) 
LINESTRING (1.689746 42.508750, 1.689698 42.508699) 
LINESTRING (1.689698 42.508699, 1.689751 42.508592) 
LINESTRING (1.689751 42.508592, 1.689800 42.508489) 
LINESTRING (1.689800 42.508489, 1.689821 42.508398) 
LINESTRING (1.689821 42.508398, 1.689725 42.508366) 
LINESTRING (1.689725 42.508366, 1.689784 42.508275) 
LINESTRING (1.689784 42.508275, 1.689693 42.508253) 
LINESTRING (1.689693 42.508253, 1.689672 42.508172) 
LINESTRING (1.689672 42.508172, 1.689601 42.508117) 
LINESTRING (1.689601 42.508117, 1.689639 42.508074) 
LINESTRING (1.689639 42.508074, 1.689593 42.508018) 
LINESTRING (1.689593 42.508018, 1.689531 42.508038) 
LINESTRING (1.689531 42.508038, 1.689386 42.508086) 
LINESTRING (1.689386 42.508086, 1.689236 42.508133) 
LINESTRING (1.689236 42.508133, 1.689102 42.508176) 
LINESTRING (1.689102 42.508176, 1.688823 42.508184) 
LINESTRING (1.688823 42.508184, 1.688635 42.508212) 
LINESTRING (1.688635 42.508212, 1.688539 42.508268) 
LINESTRING (1.688539 42.508268, 1.688416 42.508271) 
LINESTRING (1.688416 42.508271, 1.688249 42.508271) 
LINESTRING (1.688249 42.508271, 1.688190 42.508319) 
LINESTRING (1.688190 42.508319, 1.688137 42.508390) 
LINESTRING (1.688137 42.508390, 1.688029 42.508469) 
LINESTRING (1.688029 42.508469, 1.687809 42.508639) 
LINESTRING (1.687809 42.508639, 1.687589 42.508714) 
LINESTRING (1.687589 42.508714, 1.687257 42.508770) 
LINESTRING (1.687257 42.508770, 1.686865 42.508880) 
LINESTRING (1.686865 42.508880, 1.686597 42.508932) 
LINESTRING (1.686597 42.508932, 1.686511 42.508954) 
LINESTRING (1.686511 42.508954, 1.686416 42.508954) 
LINESTRING (1.686416 42.508954, 1.686350 42.508951) 
LINESTRING (1.686350 42.508951, 1.686261 42.508908) 
LINESTRING (1.686261 42.508908, 1.686208 42.508857) 
LINESTRING (1.686208 42.508857, 1.686147 42.508804) 
LINESTRING (1.686147 42.508804, 1.686089 42.508756) 
LINESTRING (1.686089 42.508756, 1.686032 42.508622) 
LINESTRING (1.686032 42.508622, 1.686044 42.508557) 
LINESTRING (1.686044 42.508557, 1.686049 42.508431) 
LINESTRING (1.686049 42.508431, 1.686032 42.508402) 
LINESTRING (1.686032 42.508402, 1.685957 42.508372) 
LINESTRING (1.685957 42.508372, 1.685860 42.508317) 
LINESTRING (1.685860 42.508317, 1.685812 42.508274) 
LINESTRING (1.685812 42.508274, 1.685730 42.508217) 
LINESTRING (1.685730 42.508217, 1.685663 42.508182) 
LINESTRING (1.685663 42.508182, 1.685593 42.508162) 
LINESTRING (1.685593 42.508162, 1.685494 42.508136) 
LINESTRING (1.685494 42.508136, 1.685390 42.508095) 
LINESTRING (1.685390 42.508095, 1.685301 42.508059) 
LINESTRING (1.685301 42.508059, 1.685193 42.508036) 
LINESTRING (1.685193 42.508036, 1.685000 42.508008) 
